Inv_NUM,Country,Date,Denomination,Type,grading_serv,MINTAGE,SERIAL_NUM,Grade,INFO_KM,Price,Metal Compositiom,Status,DateEntered,catagory
730,US,1879-S,$1,Morgan Dollar,,,,MS-63,,$47.00,,Available,0904,
946,US,1936,5›,Buffalo,,,,NS-63,,$40.00,,Available,0904,
5108,US,1916-S,5›,Buffalo,,,,FINE lgt.scratches,,$20.00,,Available,0906,
503,US,1914-S,5›,Buffalo,,,,Good,,$23.00,,Available,0903,
837,US,1934,5›,Buffalo,,,,AU cleaned,,$20.00,,Available,0904,
922,US,1921-S,50›,Walking Liberty,,,,Fine,,$198.00,,Available,0904,
954,US,1920-S,5›,Buffalo,,,,Fine,,$30.00,,Available,0904,
959,US,1913-D TY 1,5›,Buffalo,,,,AU,,$57.00,,Available,0904,
5036,US,1866,5›,SHIELD,,,,Good,,$27.50,,Available,0905,
5068,US,1944-S,25›,Washington,,,,Unc,,$20.00,,Available,0906,
5884,US,1915-S,10›,Barber,,,,Fine,,$34.00,,Available,1004,
535,US,1928-S,5›,Buffalo,,,,AU Stain Rev,,$85.00,,Available,0903,
551,US,1934-S,$1,Peace,,,,Fine,,$52.00,,Available,0903,
563,US,1983-P,25›,Washington,,,,Unc,,$25.00,,Available,0903,
5337,US,1876,1›,Indian Cent,,,,Good,,$27.00,,Available,0909,
5347,US,1858,5›,Half Dime,,,,VG,,$21.00,,Available,0909,
5236,US,1951-S,25›,Washington,,,,Unc,,$24.00,,Available,0908,
14211,US,1798,10›,Drapped Bust,,,,VG,,$250.00,,Available,2408,
14212,US,1935-S,50›,San Diego Commem,,,,MS-63,,$106.00,,Available,2409,
14213,US,1935-S,50›,San Diego Commem,,,,MS-64,,$132.00,,Available,2409,
14214,US,1922,$1,Peace,,,,MS-63,,$57.00,,Available,2409,
14215,US,1888,$1,Morgan,,,,AU Cleaned,,$50.00,,Available,2409,
14216,US,1925,$1,Peace,,,,MS-64,,$85.00,,Available,2409,
14217,US,1924,$1,Peace,,,,MS-64,,$85.00,,Available,2409,
14240,US,1928-D,1›,Lincoln,,,,AU Cleaned,,$16.00,,Available,2409,
14241,US,1931-D,1›,Lincoln,,,,AU Cleaned,,$27.00,,Available,2409,
14242,US,1912-S,1›,Lincoln,,,,Fine,,$19.00,,Available,2409,
14243,US,1914-S,1›,Lincoln,,,,Fine,,$20.00,,Available,2409,
14244,US,1915-S,1›,Lincoln,,,,VF,,$27.00,,Available,2409,
14245,US,1917-D,1›,Lincoln,,,,VF,,$5.00,,Available,2409,
14246,US,1911-S,1›,Lincoln,,,,VG,,$30.00,,Available,2409,
14247,US,1944-S,50›,Walking Liberty,,,,AU,,$55.00,,Available,2409,
14248,US,1916-S,5›,Buffalo,,,,VF,,$28.00,,Available,2409,
14249,US,1881,3›,Three Cent Nickel,,,,XF,,$37.00,,Available,2409,
14250,US,1909-S VDB,1›,Lincoln,,,,XF,,"$1,360.00",,Available,2409,
313,US,1932-D,25›,Washington,,,,Fine,,$205.00,,Available,0901,
316,US,1950-S,10›,Roosevelt,,,,Unc,,$32.00,,Available,0901,
336,US,1870,5›,SHIELD,,,,Good,,$27.00,,Available,0902,
337,US,1935-S,5›,Buffalo,,,,MS-62,,$50.00,,Available,0902,
356,US,1867,5›,SHIELD,,,,FINE corroded,,$20.00,,Available,0902,
13485,US,1898-O,$1,Morgan,,,,MS-64,,$136.00,,Available,2307,
13486,US,1898-O,$1,Morgan,,,,MS-63,,$88.00,,Available,2307,
13488,US,1882,$1,Morgan,,,,AU,,$63.00,,Available,2307,
13489,US,1881-S,$1,Morgan,,,,AU58,,$56.00,,Available,2307,
13490,US,1884-O,$1,Morgan,,,,AU,,$50.00,,Available,2307,
13491,US,1889,$1,Morgan,,,,AU58,,$56.00,,Available,2307,
13492,US,1882,$1,Morgan,,,,MS62,,$90.00,,Available,2307,
13495,US,1885-O,$1,Morgan,,,,MS-63,,$118.00,,Available,2307,
13497,US,1904-O,$1,Morgan,,,,MS-62,,$88.00,,Available,2307,
13500,US,1889,$1,Morgan,,,,MS62,,$67.00,,Available,2307,
13501,US,1896,$1,Morgan,,,,MS63,,$80.00,,Available,2307,
13504,US,1926-D,10›,Mercury,,,,AU,,$70.00,,Available,2307,
14134,US,1854-O Arrows,5›,Half Dime,,,,Good,,$30.00,,Available,2407,
14135,US,1841-O,5›,Half Dime,,,,Good Rev. Damage,,$50.00,,Available,2407,
14136,US,1875-S,20›,Twenty Cent,,,,Fine,,$165.00,,Available,2407,
14137,US,1872,5›,Half Dime,,,,Fine,,$30.00,,Available,2407,
14138,US,1921,$1,Peace,,,,Fine,,$130.00,,Available,2407,
14139,US,1921,$1,Peace,,,,XF,,$181.00,,Available,2407,
14140,US,1923,$1,Peace,,,,MS-64,,$69.00,,Available,2407,
14142,US,1878 7/8  TF,$1,Morgan,,,,AU Cleaned,,$85.00,,Available,2407,
14143,US,1892,$1,Morgan,,,,XF,,$88.00,,Available,2407,
14144,US,1935-S,5›,Buffalo,,,,AU,,$19.00,,Available,2407,
14145,US,1924-D,5›,Buffalo,,,,Fine,,$24.00,,Available,2407,
14146,US,1918-S,5›,Buffalo,,,,Fine,,$46.00,,Available,2407,
14147,US,1931-S,1›,Lincoln,,,,XF/AU,,$90.00,,Available,2407,
14149,US,1912-S,1›,Lincoln,,,,VF,,$33.00,,Available,2407,
14151,US,1902-S,50›,Barber,,,,VG,,$33.00,,Available,2407,
14152,US,1942-S,50›,Walking Liberty,,,,AU,,$22.00,,Available,2407,
14153,US,1940-S,50›,Walking Liberty,,,,AU58,,$36.00,,Available,2407,
400,US,1917-D TY1,25›,Standing Liberty,,,,Good,,$21.00,,Available,0903,
401,US,1920-S,5›,Buffalo,,,,FINE planchet peel,,$26.00,,Available,0903,
5587,US,1866 rays,5›,Liberty,,,,Good,,$27.50,,Available,0912,
5605,US,1950-S,10›,Roosevelt,,,,Unc,,$32.00,,Available,0912,
5609,US,1995-S,10›,Roosevelt,,,,PROOF,,$20.00,,Available,0912,
5611,US,1997-S,50›,Kennedy,,,,PROOF,,$34.00,,Available,0912,
5612,US,1998-S,50›,Kennedy,,,,PROOF,,$22.00,,Available,0912,
5614,US,1973-S,$1,IKE,,,,PROOF-SILVER,,$35.00,,Available,0912,
5615,US,2003-S,$1,Sacagawea,,,,PROOF,,$20.00,,Available,0912,
5616,US,2003-S,$1,SACAGWEA,,,,PROOF,,$20.00,,Available,0912,
5617,US,2002-S,$1,Sacagawea,,,,PROOF,,$20.00,,Available,0912,
5618,US,2005-S,$1,Sacagawea,,,,PROOF,,$22.50,,Available,0912,
5621,US,2004-S,$1,Sacagawea,,,,PROOF,,$22.50,,Available,0912,
5622,US,2003-S,$1,Sacagawea,,,,PROOF,,$22.50,,Available,0912,
5623,US,2004-S,$1,Sacagawea,,,,PROOF,,$22.50,,Available,0912,
5624,US,2005-S,$1,Sacagawea,,,,PROOF,,$22.50,,Available,0912,
5625,US,2005-S,$1,Sacagawea,,,,PROOF,,$22.50,,Available,0912,
5631,US,1908-D,50›,Barber,,,,VG+,,$20.00,,Available,1001,
5634,US,1839-O,5›,Half Dime,,,,Good,,$22.50,,Available,1001,
5648,US,1928-S,50›,Walking Liberty,,,,FINE cleaned,,$22.00,,Available,1001,
5900,US,1950-S,10›,Roosevelt,,,,Unc,,$32.00,,Available,1004,
5901,US,2003-S,$1,Sacagawea,,,,PROOF,,$20.00,,Available,1004,
5078,US,1924-S,5›,Buffalo,,,,VG,,$28.00,,Available,0906,
5079,US,1904-S,50›,Barber,,,,Good,,$38.50,,Available,0906,
5126,US,1909VDB,1›,Lincoln,,,,MS-64 RB,,$65.00,,Available,0906,
5141,US,1913 Type II,5›,Buffalo,,,,AU,,$25.00,,Available,0906,
5142,US,1952-S,25›,Washington,,,,Unc,,$23.50,,Available,0906,
5143,US,1952-S,25›,Washington,,,,Unc,,$23.50,,Available,0906,
5145,US,1952-S,25›,Washington,,,,Unc,,$23.50,,Available,0906,
5160,US,1919-S,5›,Buffalo,,,,VG,,$26.00,,Available,0907,
5301,US,1917-D,5›,Buffalo,,,,Good,,$23.00,,Available,0908,
5208,US,1907,1›,Indian Cent,,,,AU,,$20.00,,Available,0907,
5213,US,1995-S,50›,Kennedy,,,,PROOF,,$35.00,,Available,0907,
5214,US,1997-S,50›,Kennedy,,,,PROOF,,$34.00,,Available,0907,
5221,US,1906,1›,Indian Cent,,,,AU,,$20.00,,Available,0908,
5225,US,1857,1›,Flying Eagle,,,,Good,,$26.00,,Available,0908,
5469,US,1912-S,50›,Barber,,,,VG,,$20.00,,Available,0910,
5470,US,1867,5›,SHIELD,,,,VG,,$21.00,,Available,0910,
5471,US,1922-D,1›,Lincoln,,,,VG,,$20.00,,Available,0910,
5472,US,1899-S,50›,Barber,,,,AG,,$20.00,,Available,0910,
5375,US,1924-S,$1,Peace,,,,VF,,$37.00,,Available,0909,
6445,US,1917-D,5›,Buffalo,,,,Good,,$24.00,,Available,1103,
6446,US,1917-S,5›,Buffalo,,,,VG,,$42.00,,Available,1103,
6448,US,1876,1›,Indian Cent,,,,Good,,$27.00,,Available,1103,
8682,US,1909 VDB,1›,Lincoln,,,,Unc,,$25.00,,Available,1308,
8691,US,1914-S,5›,Buffalo,,,,Good,,$24.00,,Available,1308,
8699,US,1865,2›,TWO Cents,,,,VF,,$30.00,,Available,1308,
10228,CANADA,1910,25›,25 Cents,,,,UNC  cleaned,,$250.00,,Available,1508,
10229,CANADA,1929,50›,50 Cents,,,,AU whizzed,,$170.00,,Available,1508,
10232,CANADA,1874H,25›,Quarter,,,,AU cleaned/toned,,$150.00,,Available,1508,
10234,NEW FOUNDLAND,1899,50›,50 Cents,,,,UNC whizzed,,$110.00,,Available,1508,
10239,NEW FOUNDLAND,1874,50›,50 Cents,,,,VF rim bump,,$85.00,,Available,1508,
10244,CANADA,1919,50›,Fifty Cents,,,,XF,,$150.00,,Available,1508,
5660,US,1913-S Type I,5›,Buffalo,,,,XF,,$75.00,,Available,1001,
5669,US,1913-S Type 1,5›,Buffalo,,,,XF,,$75.00,,Available,1001,
5679,US,1913-S Type 1,5›,Buffalo,,,,Good,,$40.00,,Available,1001,
5680,US,1913-S Type 1,5›,Buffalo,,,,Good,,$40.00,,Available,1001,
5690,US,1859,1›,Indian Cent,,,,Fine,,$22.50,,Available,1002,
5694,US,1926-S,5›,Buffalo,,,,Good,,$20.00,,Available,1002,
5699,US,1906,1›,Indian Cent,,,,AU,,$21.00,,Available,1002,
5700,US,1905,1›,Indian Cent,,,,Unc,,$37.00,,Available,1002,
5707,US,1907,1›,Indian Cent,,,,AU,,$20.00,,Available,1002,
5731,US,1954,25›,Washington,,,,PROOF,,$20.00,,Available,1002,
5732,US,1999,50›,Kennedy,,,,PROOF SILVER,,$38.00,,Available,1002,
5753,US,1902-S,10›,Barber,,,,FINEscratches,,$20.00,,Available,1002,
5757,US,1837,1›,Large Cent,,,,VG,,$29.00,,Available,1002,
5550,US,1921-S,5›,Buffalo,,,,Good,,$64.00,,Available,0911,
5551,US,1926-S,5›,Buffalo,,,,VG,,$42.00,,Available,0911,
5563,US,1900-O,50›,Barber,,,,VG,,$22.50,,Available,0911,
5539,US,1921,5›,Buffalo,,,,VF,,$25.00,,Available,0911,
5543,US,1917-S,5›,Buffalo,,,,Good,,$23.00,,Available,0911,
5830,US,1950-S,10›,Roosevelt,,,,BU,,$35.00,,Available,1003,
5848,US,1916-S,1›,Lincoln,,,,XF,,$27.00,,Available,1003,
5849,US,2001-S,$1,Sacagawea,,,,PROOF,,$100.00,,Available,1003,
5853,US,1909 VDB,1›,Lincoln,,,,Unc,,$25.00,,Available,1003,
5854,US,1902-S,10›,Barber,,,,VG,,$21.00,,Available,1003,
6843,US,1921-D,10›,Mercury,,,,AG cleaned,,$75.00,,Available,1110,
6849,US,1938-D,50›,Walking Liberty,,,,Fine,,$125.00,,Available,1110,
7763,US,1924-D,1›,Lincoln,,,,XF - rim niks,,$80.00,,Available,1206,
7778,Sweden,1848,1/4 Riksdaler,,,,,VG,,$22.50,,Available,1206,
7782,China,1906,10,y#10W,,,,VG,,$20.00,,Available,1206,
7784,US,2001,25›,Jefferson,,,,MS-63 Low leaf,,$100.00,,Available,1206,
6060,US,1908-S,50›,Barber,,,,VG/G,,$20.00,,Available,1007,
6077,US,1909 VDB,1›,Lincoln,,,,Unc,,$25.00,,Available,1007,
6082,US,1857,1›,Flying Eagle,,,,Good,,$27.50,,Available,1007,
6084,US,1917-S,5›,Buffalo,,,,Good,,$23.00,,Available,1007,
6089,US,1931-S,5›,Buffalo,,,,XF,,$30.00,,Available,1007,
6095,US,1924-S,5›,Buffalo,,,,VG,,$32.00,,Available,1007,
6096,US,1921-S,5›,Buffalo,,,,Good,,$64.00,,Available,1007,
6098,US,1915-D,5›,Buffalo,,,,Good,,$21.00,,Available,1007,
6120,US,1857,1›,Flying Eagle,,,,Good,,$27.50,,Available,1007,
6123,US,1857,1›,Flying Eagle,,,,Good,,$27.50,,Available,1007,
6131,US,1881,3›,3-Cent,,,,FINE+,,$20.00,,Available,1007,
6223,US,1928-D,5›,Buffalo,,,,XF,,$38.00,,Available,1008,
6224,US,1935-S,5›,Buffalo,,,,Unc,,$44.00,,Available,1008,
6226,US,1937-S,5›,Buffalo,,,,Unc,,$24.00,,Available,1008,
6227,US,1930-S,5›,Buffalo,,,,Unc,,$70.00,,Available,1008,
6329,US,2009-S,50›,Kennedy SILVER,,,,PROOF,,$20.00,,Available,1010,
6330,US,2007-S,$1,Sacagawea,,,,PROOF,,$22.50,,Available,1010,
6339,CANADA,1913,25›,,,,,AU,,$190.00,,Available,1010,
6342,US,1924-S,$1,PEACE,,,,AU,,$65.00,,Available,1010,
13471,US,1877,5›,Buffalo,,,,Good,,$22.00,,Available,2306,
6365,US,1884,5›,Liberty Nickel,,,,VF Dark,,$35.00,,Available,1011,
13663,US,1921,$1,Morgan Dollar,,,,MS-62,,$77.00,,Available,2011,
13666,US,1879-S,$1,Morgan Dollar,,,,MS-63,,$99.00,,Available,2106,
13667,US,1917-S,5›,Buffalo,,,,VG,,$35.00,,Available,1309,
13668,US,1919-D,5›,Buffalo,,,,VG,,$24.00,,Available,2209,
13669,US,1919-S,5›,Buffalo,,,,Fine,,$41.00,,Available,1008,
13670,US,1949-S,50›,Franklin,,,,AU,,$33.00,,Available,2209,
13671,US,1908-S,1›,Indian Cent,,,,VG+,,$100.00,,Available,1809,
13674,US,1926-S,5›,Buffalo,,,,G+,,$25.00,,Available,2312,
13676,US,1913-S,1›,Lincoln,,,,Fine,,$15.00,,Available,2312,
13677,US,1922-D,1›,Lincoln,,,,Fine,,$15.00,,Available,2312,
13678,US,1879,$1,Morgan,,,,Unc,,$77.00,,Available,2312,
13679,US,1924-D,1›,Lincoln,,,,Fine,,$38.00,,Available,2312,
13680,US,1911-S,1›,Lincoln,,,,XF,,$104.00,,Available,2312,
13681,US,1911-S,1›,Lincoln,,,,XF,,$104.00,,Available,2312,
14041,US,1884-CC,$1,Morgan,,,,MS-62,,$310.00,,Available,2406,
14042,US,1884-S,$1,Morgan,,,,XF Cleaned,,$95.00,,Available,2406,
14043,US,1884-O,$1,Morgan,,,,MS-63,,$73.00,,Available,2406,
14044,US,1885-S,$1,Morgan,,,,AU,,$165.00,,Available,2406,
14045,US,1886-O,$1,Morgan,,,,AU Cleaned,,$120.00,,Available,2406,
14048,US,1878 8 Tail Feathers,$1,Morgan,,,,AU-58,,$220.00,,Available,2406,
14049,US,1887,$1,Morgan,,,,MS-64,,$91.00,,Available,2406,
14050,US,1890,$1,Morgan,,,,MS-64,,$125.00,,Available,2406,
14051,US,1885-O,$1,Morgan,,,,MS-65,,$182.00,,Available,2406,
14052,US,1883,$1,Morgan,,,,MS-64,,$100.00,,Available,2406,
14053,US,1886,$1,Morgan,,,,MS-63,,$77.00,,Available,2406,
14054,US,1912-D,10›,Barber,,,,AU,,$60.00,,Available,2406,
14055,US,1949,25›,Washington,,,,MS-65,,$50.00,,Available,2406,
14056,US,1953-D,25›,Washington,,,,MS-65,,$28.00,,Available,2406,
14057,US,1952-S,25›,Washington,,,,MS-64,,$25.00,,Available,2406,
14058,US,1951-S,25›,Washington,,,,MS-64,,$25.00,,Available,2406,
14059,US,1950-D,25›,Washington,,,,MS-64,,$25.00,,Available,2406,
6011,US,1909 VDB,1›,Lincoln,,,,XF,,$20.00,,Available,1005,
6026,US,1938-D,50›,Walking Liberty,,,,Fine,,$105.00,,Available,1006,
6029,US,1982-P,25›,Washington,,,,Unc,,$20.00,,Available,1006,
6185,US,1942-S,25›,Washington,,,,AU,,$25.00,,Available,1007,
6280,US,1914-S,5›,Buffalo,,,,XF scratch rev,,$78.00,,Available,1008,
6283,US,1915-S,5›,Buffalo,,,,AU,,$480.00,,Available,1008,
6287,US,1917,5›,Buffalo,,,,Unc,,$52.00,,Available,1008,
6289,US,1918-S,5›,Buffalo,,,,F/VF,,$65.00,,Available,1008,
6290,US,1919,5›,Buffalo,,,,AU/rim ding obv,,$27.00,,Available,1008,
6291,US,1919-D,5›,Buffalo,,,,AU,,$330.00,,Available,1008,
6292,US,1919-S,5›,Buffalo,,,,FINE+,,$55.00,,Available,1008,
6293,US,1920-D,5›,Buffalo,,,,VF planchet peel,,$110.00,,Available,1008,
6303,US,1926-S,5›,Buffalo,,,,VF/lght scratch rev,,$290.00,,Available,1008,
7790,Danish West Indies,1840,10 Skillings,,,,,VF,,$27.00,,Available,1206,
7796,US,1909S,25›,Barber,,,,VG,,$25.00,,Available,1206,
7797,US,1909O,25›,Barber,,,,Good,,$28.77,,Available,1206,
7798,US,1908-S,25›,Barber,,,,Good,,$25.00,,Available,1206,
7799,US,1909-O,25›,Barber,,,,Good,,$35.00,,Available,1206,
7800,CANADA,1859,1›,KM-1,,,,Fine - Wide 9,,$45.00,,Available,1206,
7805,New Zealand,1941,,,,,,Unc,4-7,$50.00,,Available,1206,
7806,New Zealand,1940,,,,,,Unc,4-7,$20.00,,Available,1206,
7808,New Zealand,1940,,,,,,Unc,Y-8,$25.00,,Available,1206,
7809,New Zealand,1942,,,,,,Unc,y-7,$80.00,,Available,1206,
6420,US,1943,50›,Walking Liberty,,,,MS-63,,$40.00,,Available,1103,
6473,US,1938-D,50›,Walking Liberty,,,,VF,,$125.00,,Available,1104,
6475,US,1943,50›,Walking Liberty,,,,Unc,,$29.00,,Available,1104,
6477,US,1945-S,50›,Walking Liberty,,,,MS-63,,$55.00,,Available,1104,
6494,US,1916,5›,Buffalo,,,,MS-64,,$95.00,,Available,1104,
6510,US,1909,50›,Barber,,,,Fine,,$28.00,,Available,1104,
6533,US,1906,1›,Indian Cent,,,,AU,,$21.00,,Available,1105,
6549,US,1874,5›,SHIELD,,,,AG,,$20.00,,Available,1105,
6558,US,1858-SL,1›,Flying Eagle,,,,Good,,$27.00,,Available,1105,
6564,US,1901,1›,Indian Cent,,,,AU,,$22.00,,Available,1105,
6572,US,1908-S,1›,Indian Cent,,,,FINE CLEANED,,$85.00,,Available,1105,
6580,US,1929-S,5›,Buffalo,,,,AU,,$25.00,,Available,1105,
6581,US,1866,1›,Indian Cent,,,,Good,,$46.00,,Available,1105,
6583,US,1907,1›,Indian Cent,,,,CLEANED,,$70.00,,Available,1105,
6585,US,1866,1›,Indian Cent,,,,AG,,$30.00,,Available,1106,
6593,US,1924-D,1›,Lincoln,,,,VF,,$60.00,,Available,1106,
6594,US,1922-D,1›,Lincoln,,,,Fine,,$23.00,,Available,1106,
6595,US,1909 VDB,1›,Lincoln,,,,MS-63 RB,,$30.00,,Available,1106,
6606,US,1922-D,1›,Lincoln,,,,Fine,,$20.00,,Available,1107,
6614,US,1921-D,10›,Mercury,,,,VG,,$120.00,,Available,1107,
6634,US,1927-D,25›,STANDING Liberty,,,,VG+,,$20.00,,Available,1107,
6636,US,1912-s,1›,Lincoln,,,,VF+,,$36.00,,Available,1107,
6643,US,1909 VDB,1›,Lincoln,,,,Unc,,$25.00,,Available,1107,
6654,US,1860,1›,Indian Cent,,,,VF,,$46.00,,Available,1107,
